Time,Channel A
(ms),(V)

213.93867710,-0.17505420
214.00118110,-0.18378250
214.06368509,-0.20642720
214.12618909,-0.22315130
214.18869309,-0.23358870
214.25119708,-0.23883790
214.31370108,-0.24427010
214.37620508,-0.26075010
214.43870908,-0.27442240
214.50121307,-0.29511400
214.56371707,-0.31550030
214.62622107,-0.32496110
214.68872507,-0.33539840
214.75122906,-0.34437090
214.81373306,-0.35535750
214.87623706,-0.36902980
214.93874106,-0.39045380
215.00124505,-0.40815450
215.06374905,-0.42707600
215.12625305,-0.43501080
215.18875705,-0.44050420
215.25126104,-0.44447160
215.31376504,-0.45942560
215.37626904,-0.47907960
215.43877304,-0.50746180
215.50127703,-0.53041170
215.56378103,-0.54335150
215.62628503,-0.53956720
215.68878903,-0.53364660
215.75129302,-0.55403300
215.81379702,-0.56697290
215.87630102,-0.59437850
215.93880502,-0.63344220
216.00130901,-0.64589380
216.06381301,-0.64693140
216.12631701,-0.64589380
216.18882101,-0.63795890
216.25132500,-0.65462200
216.31382900,-0.68800930
216.37633300,-0.72188480
216.43883700,-0.75917850
216.50134099,-0.76467180
216.56384499,-0.74971770
216.62634899,-0.73531290
216.68885299,-0.73506880
216.75135698,-0.75325790
216.81386098,-0.80703150
216.87636498,-0.86330760
216.93886898,-0.88845490
217.00137297,-0.88296150
217.06387697,-0.84487440
217.12638097,-0.80874050
217.18888497,-0.82021550
217.25138896,-0.87575910
217.31389296,-0.96786400
217.37639696,-1.03408900
217.43890096,-1.04031500
217.50140495,-0.97531050
217.56390895,-0.89114050
217.62641295,-0.83065280
217.68891695,-0.87423320
217.75142094,-1.02737500
217.81392494,-1.22531800
217.87642894,-1.33610000
217.93893294,-1.24375100
218.00143693,-0.91183200
218.06394093,-0.34864350
218.12644493,0.29529710
218.18894893,0.87466050
218.25145292,1.23123900
218.31395692,1.34824700
218.37646092,1.24369000
218.43896492,1.05496400
218.50146891,0.89608450
218.56397291,0.83187350
218.62647691,0.88064210
218.68898091,0.97524950
218.75148490,1.04373300
218.81398890,1.03579800
218.87649290,0.97750780
218.93899690,0.89162870
219.00150089,0.82833340
219.06400489,0.81942200
219.12650889,0.84853660
219.18901289,0.88937040
219.25151688,0.90627770
219.31402088,0.87813960
219.37652488,0.83108010
219.43902887,0.77510910
219.50153287,0.75289160
219.56403687,0.75264750
219.62654087,0.77730640
219.68904486,0.78878140
219.75154886,0.78853730
219.81405286,0.75740840
219.87655686,0.71907710
219.93906085,0.68745990
220.00156485,0.66798910
220.06406885,0.70039980
220.12657285,0.68843650
220.18907684,0.68221070
220.25158084,0.67824330
220.31408484,0.64931180
220.37658884,0.61622980
220.43909283,0.59254740
220.50159683,0.60127570
220.56410083,0.59706410
220.62660483,0.60029910
220.68910882,0.58357500
220.75161282,0.57515180
220.81411682,0.54628130
220.87662082,0.53431810
220.93912481,0.52558980
221.00162881,0.51936400
221.06413281,0.52137820
221.12663681,0.51637320
221.18914080,0.50618000
221.25164480,0.48847930
221.31414880,0.47303690
221.37665280,0.45783870
221.43915679,0.45338300
221.50166079,0.45240640
221.56416479,0.44141970
221.62666879,0.43568220
221.68917278,0.41828670
221.75167678,0.41230510
221.81418078,0.39832760
221.87668478,0.39362770
221.93918877,0.38166450
222.00169277,0.38538770
222.06419677,0.37348550
222.12670077,0.36695460
222.18920476,0.35779900
222.25170876,0.34455400
222.31421276,0.34058660
222.37671676,0.33533740
222.43922075,0.31794180
222.50172475,0.33210240
222.56422875,0.31666000
222.62673275,0.30298780
222.68923674,0.30225530
222.75174074,0.29902030
222.81424474,0.28455460
222.87674874,0.28009890
222.93925273,0.27436140
223.00175673,0.27759640
223.06426073,0.26313060
223.12676473,0.26117740
223.18926872,0.25244910
223.25177272,0.24225590
223.31427672,0.24549090
223.37678072,0.24073000
223.43928471,0.23426010
223.50178871,0.23255100
223.56429271,0.23352760
223.62679671,0.22431100
223.68930070,0.21662040
223.75180470,0.21759700
223.81430870,0.20862450
223.87681270,0.20337530
223.93931669,0.20685450
224.00182069,0.19440290
224.06432469,0.20093390
224.12682869,0.19592880
224.18933268,0.19415880
224.25183668,0.18622390
224.31434068,0.18170720
224.37684467,0.18597980
224.43934867,0.18097480
224.50185267,0.18274480
224.56435667,0.17847230
224.62686066,0.17523730
224.68936466,0.17548140
224.75186866,0.17126990
224.81437266,0.17822810
224.87687665,0.16480000
224.93938065,0.17377240
225.00188465,0.17004910
225.06438865,0.17029330
225.12689264,0.16901150
225.18939664,0.17151400
225.25190064,0.16827910
225.31440464,0.16180910
225.37690863,0.17200230
